"order_id","customer_id","order_date","status","product_id","quantity","price","created_at","updated_at"
IINI91PP812,697,2022-01-30 00:00:00.000,Success,B08ZN4B121,7,1599.00,2022-01-30 00:00:00.000,2022-01-30 00:00:00.000
IINI91PP812,697,2022-01-30 00:00:00.000,Success,B0B94JPY2N,13,999.00,2022-01-30 00:00:00.000,2022-01-30 00:00:00.000
IINI91PP812,697,2022-01-30 00:00:00.000,Success,B07MP21WJD,9,299.00,2022-01-30 00:00:00.000,2022-01-30 00:00:00.000
IINI91PP812,697,2022-01-30 00:00:00.000,Success,B08G43CCLC,9,999.00,2022-01-30 00:00:00.000,2022-01-30 00:00:00.000
ONNA03MN757,172,2021-01-03 00:00:00.000,Success,B0B217Z5VK,5,3999.00,2021-01-03 00:00:00.000,2021-01-03 00:00:00.000
ONNA03MN757,172,2021-01-03 00:00:00.000,Success,B08RWCZ6SY,7,899.00,2021-01-03 00:00:00.000,2021-01-03 00:00:00.000
NPCC44AC852,824,2022-09-08 00:00:00.000,Success,B07QDSN9V6,11,1595.00,2022-09-08 00:00:00.000,2022-09-08 00:00:00.000
MMIM69AM147,947,2021-06-26 00:00:00.000,Success,B089BDBDGM,7,249.00,2021-06-26 00:00:00.000,2021-06-26 00:00:00.000
MCIA31MO690,336,2021-07-09 00:00:00.000,Success,B0883LQJ6B,8,1690.00,2021-07-09 00:00:00.000,2021-07-09 00:00:00.000
MCIA31MO690,336,2021-07-09 00:00:00.000,Success,B0718ZN31Q,2,4999.00,2021-07-09 00:00:00.000,2021-07-09 00:00:00.000
MCIA31MO690,336,2021-07-09 00:00:00.000,Success,B09DSXK8JX,12,19499.00,2021-07-09 00:00:00.000,2021-07-09 00:00:00.000
MCIA31MO690,336,2021-07-09 00:00:00.000,Success,B07WGPKTS4,4,19999.00,2021-07-09 00:00:00.000,2021-07-09 00:00:00.000
MCIA31MO690,336,2021-07-09 00:00:00.000,Success,B09GFPVD9Y,15,10999.00,2021-07-09 00:00:00.000,2021-07-09 00:00:00.000
MCIA31MO690,336,2021-07-09 00:00:00.000,Success,B09KPXTZXN,15,1999.00,2021-07-09 00:00:00.000,2021-07-09 00:00:00.000
MCIA31MO690,336,2021-07-09 00:00:00.000,Success,B00TI8E7BI,12,2695.00,2021-07-09 00:00:00.000,2021-07-09 00:00:00.000
IANC47AM423,965,2022-10-04 00:00:00.000,Canceled,B07PFJ5W31,1,495.00,2022-10-04 00:00:00.000,2022-10-04 00:00:00.000
IANC47AM423,965,2022-10-04 00:00:00.000,Canceled,B00KXULGJQ,6,5499.00,2022-10-04 00:00:00.000,2022-10-04 00:00:00.000
IANC47AM423,965,2022-10-04 00:00:00.000,Canceled,B003L62T7W,9,375.00,2022-10-04 00:00:00.000,2022-10-04 00:00:00.000
